frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,total_ms
1130,48.77,7.777,10.621,4.634,71.803
1131,185.252,6.095,8.19,5.118,204.656
1132,25.946,8.394,11.104,4.504,49.948
1133,36.167,4.861,8.354,3.365,52.746
1134,127.517,7.846,12.064,2.581,150.008
1135,22.034,7.146,8.498,6.856,44.534
1136,102.553,5.19,8.345,3.577,119.666
1137,27.785,10.672,11.258,4.737,54.452
1138,76.661,13.355,21.106,8.99,120.113
1139,85.012,11.117,14.083,3.483,113.696
1140,22.577,10.156,11.316,4.733,48.781
1141,94.629,6.298,8.178,2.829,111.935
1142,24.51,8.363,10.553,2.555,45.981
1143,188.491,4.438,8.134,2.753,203.816
1144,23.196,8.498,11.235,4.612,47.541
1145,91.021,7.821,11.264,3.129,113.235
1146,31.382,7.344,11.208,4.738,54.672
1147,180.259,4.48,8.044,2.655,195.438
1148,20.368,9.931,11.257,4.562,46.118
1149,104.619,8.593,10.958,2.477,126.646
1150,23.623,8.245,9.154,6.77,47.792
1151,188.003,4.485,8.222,2.929,203.64
1152,22.582,13.98,20.267,4.379,61.208
1153,60.976,5.611,8.397,10.01,84.994
1154,45.449,8.622,11.237,4.71,70.017
1155,149.719,8.483,12.015,6.946,177.164
1156,36.491,5.338,10.034,6.422,58.285
1157,65.234,8.747,11.484,7.744,93.209
1158,47.991,11.926,16.345,13.147,89.41
1159,112.067,6.926,10.325,3.818,133.136
1160,20.098,4.552,8.139,3.072,35.861
1161,116.607,5.362,8.093,2.279,132.342
1162,12.954,4.758,8.137,3.072,28.921
1163,111.045,4.051,8.008,2.206,125.309
1164,12.445,4.772,8.172,2.854,28.243
1165,85.382,3.752,7.916,2.034,99.084
1166,12.04,4.624,8.116,2.927,27.707
1167,105.385,3.788,8.035,2.246,119.455
1168,12.117,4.525,8.401,2.858,27.901
1169,58.253,4.569,8.254,3.022,74.099
1170,22.793,4.244,8.204,2.751,37.992
1171,97.285,4.563,8.089,2.164,112.101
1172,13.348,4.684,8.134,2.903,29.069
1173,68.826,4.699,8.221,2.932,84.678
1174,17.272,4.369,8.023,2.774,32.438
1175,104.58,3.865,7.971,2.157,118.573
1176,12.408,4.533,8.151,2.783,27.875
1177,66.341,4.934,8.191,2.409,81.876
1178,14.163,4.473,8.092,2.694,29.422
1179,97.622,3.781,8.018,2.071,111.492
1180,13.388,4.129,8.158,2.995,28.67
1181,89.899,3.664,8.006,2.123,103.693
1182,14.028,4.632,8.096,3.137,29.892
1183,100.328,3.743,7.996,2.044,114.111
1184,11.862,4.027,8.107,2.747,26.743
1185,66.482,4.88,8.283,2.397,82.042
1186,13.456,4.42,8.139,2.88,28.896
1187,98.815,3.7,8.008,2.082,112.606
1188,13.317,4.713,8.131,2.713,28.874
1189,63.485,4.584,8.259,2.406,78.734
1190,13.774,4.449,8.075,2.794,29.091
1191,97.749,3.911,7.988,2.19,111.838
1192,12.726,4.583,8.152,2.869,28.33
1193,63.758,4.523,8.177,2.916,79.374
1194,10.976,4.616,8.042,2.735,26.37
1195,107.22,3.83,8.017,2.055,121.122
1196,12.943,4.584,8.069,2.677,28.274
1197,77.897,5.606,10.256,2.745,96.504
1198,16.482,4.43,8.027,2.805,31.744
