frame,preprocess_ms,inference_ms,postprocess_ms,total_ms
1482,2.412,10.286,1.531,14.229
1483,2.478,10.289,1.423,14.19
1484,2.467,12.281,1.605,16.353
1485,2.629,12.835,2.442,17.906
1486,2.887,19.21,2.6,24.697
1487,2.884,11.251,1.419,15.553
1488,2.545,10.545,1.445,14.535
1489,2.5,10.373,1.396,14.269
1490,2.491,10.321,1.398,14.209
1491,2.365,10.258,1.498,14.121
1492,2.539,10.219,1.402,14.159
1493,2.44,10.017,1.404,13.861
1494,2.423,10.238,1.398,14.059
1495,2.416,10.399,1.393,14.208
1496,2.42,10.089,1.374,13.884
1497,2.405,10.036,1.385,13.825
1498,2.488,10.37,1.418,14.276
1499,2.475,10.625,1.434,14.533
1500,2.426,10.658,1.88,14.964
1501,2.698,10.883,1.52,15.101
1502,2.782,10.696,1.386,14.864
1503,2.413,10.029,1.415,13.857
1504,2.345,10.05,1.404,13.799
1505,2.363,10.131,1.417,13.911
1506,2.47,10.291,1.396,14.158
1507,2.409,10.096,1.402,13.906
1508,2.473,10.296,1.379,14.148
1509,2.417,10.162,1.376,13.955
1510,2.429,10.269,1.378,14.076
1511,2.41,10.06,1.382,13.851
1512,2.361,10.22,1.376,13.956
1513,2.348,10.019,1.4,13.767
1514,2.389,10.603,1.37,14.361
1515,2.442,10.318,1.399,14.16
1516,2.375,10.483,2.132,14.99
1517,2.673,10.351,1.398,14.422
1518,2.658,10.179,1.384,14.221
1519,2.569,10.694,1.388,14.651
1520,2.347,10.228,1.532,14.107
1521,2.55,10.383,1.424,14.357
1522,2.436,10.457,1.418,14.311
1523,2.389,10.443,1.524,14.356
1524,2.453,10.022,1.375,13.849
1525,2.629,10.695,1.399,14.724
1526,2.413,10.359,1.402,14.174
1527,2.466,10.023,1.38,13.869
1528,2.434,10.435,1.549,14.418
1529,2.462,10.231,1.579,14.272
1530,2.453,10.325,1.416,14.194
1531,2.348,11.633,1.558,15.539
1532,2.389,10.074,1.715,14.178
1533,2.776,14.971,1.811,19.558
1534,2.504,10.351,1.482,14.337
1535,2.449,10.743,1.409,14.601
1536,2.478,10.286,1.413,14.177
1537,2.442,10.311,1.381,14.134
1538,2.391,10.225,1.411,14.026
1539,2.557,10.081,1.398,14.036
1540,2.421,10.051,1.463,13.935
1541,2.403,10.071,1.402,13.875
1542,2.388,10.121,1.391,13.9
1543,2.394,10.721,1.407,14.522
1544,2.446,10.702,1.459,14.607
1545,2.537,10.162,1.433,14.133
1546,2.433,10.116,1.396,13.946
1547,2.487,11.392,1.453,15.331
1548,2.439,10.376,1.392,14.207
1549,2.597,10.04,1.394,14.032
1550,2.501,10.494,1.415,14.409
1551,2.414,10.507,1.387,14.308
1552,2.447,10.021,1.409,13.877
1553,2.442,12.797,1.602,16.84
1554,2.553,10.561,1.425,14.54
1555,2.488,10.831,1.469,14.788
1556,2.427,14.675,2.279,19.382
1557,3.161,18.541,1.557,23.258
1558,2.756,10.464,1.439,14.658
1559,2.39,10.503,1.547,14.44
1560,2.48,10.387,1.504,14.371
1561,2.636,10.173,1.417,14.226
1562,2.37,10.141,1.411,13.922
1563,2.608,10.152,1.398,14.157
1564,2.471,12.476,1.418,16.365
1565,2.4,10.219,1.419,14.038
1566,2.456,10.01,1.432,13.898
1567,2.445,10.775,1.417,14.637
1568,2.461,10.147,1.402,14.009
1569,2.472,10.589,1.449,14.511
1570,2.525,10.528,1.403,14.457
1571,2.518,10.055,1.393,13.967
1572,2.448,10.266,1.41,14.124
1573,2.463,10.022,1.419,13.904
1574,2.428,10.196,1.419,14.044
1575,2.437,10.129,1.414,13.979
1576,2.363,10.107,1.4,13.871
1577,2.42,10.134,1.402,13.955
1578,2.418,10.242,1.422,14.081
1579,2.454,10.362,1.406,14.222
1580,2.444,10.109,1.402,13.955
1581,2.407,10.301,1.385,14.093
1582,2.343,10.024,1.538,13.905
1583,2.405,10.371,1.407,14.183
1584,2.57,10.533,1.418,14.52
1585,2.385,10.192,1.416,13.992
1586,2.417,12.676,1.974,17.067
1587,3.131,13.098,1.474,17.704
1588,2.464,10.213,1.413,14.09
1589,2.473,9.984,1.423,13.88
1590,2.407,10.29,1.421,14.117
1591,2.409,10.298,1.52,14.227
1592,2.407,10.09,1.387,13.884
1593,2.456,9.998,1.386,13.84
1594,2.43,9.994,1.423,13.846
1595,2.481,10.027,1.413,13.92
1596,2.472,10.014,1.407,13.892
1597,2.401,10.106,1.409,13.917
1598,2.38,10.932,1.394,14.706
1599,2.481,11.63,1.487,15.598
1600,2.525,10.56,1.713,14.798
1601,2.707,10.399,1.507,14.613
1602,2.487,10.226,1.436,14.149
1603,2.471,10.53,1.488,14.489
1604,2.386,10.323,1.472,14.182
1605,2.514,10.196,1.647,14.357
1606,2.458,10.228,1.404,14.089
1607,2.487,10.381,1.438,14.307
1608,2.43,10.406,1.473,14.309
1609,2.372,10.643,1.416,14.431
1610,2.43,10.022,1.489,13.94
1611,2.682,10.299,1.44,14.42
1612,2.549,10.524,1.509,14.581
1613,2.39,10.302,1.417,14.109
1614,2.415,10.036,1.39,13.842
1615,2.442,10.315,1.434,14.191
1616,2.537,11.597,1.438,15.572
1617,2.473,10.186,1.407,14.066
1618,2.46,10.47,1.437,14.367
1619,2.424,10.342,2.208,14.974
1620,2.629,10.66,1.51,14.799
1621,2.504,11.396,1.978,15.878
1622,2.465,10.936,1.45,14.851
1623,2.622,10.739,1.454,14.815
1624,2.536,10.649,1.439,14.624
1625,2.479,10.865,1.424,14.769
1626,2.56,10.657,2.27,15.486
1627,2.984,18.244,2.59,23.818
1628,2.939,12.791,1.462,17.192
1629,2.536,10.325,1.404,14.266
1630,2.544,10.439,1.405,14.388
1631,2.462,10.299,1.43,14.191
1632,2.526,10.303,1.447,14.276
1633,2.436,10.772,1.477,14.685
1634,2.626,11.015,1.443,15.085
1635,2.584,10.637,1.533,14.754
1636,2.599,10.498,1.526,14.623
1637,2.716,12.913,1.577,17.206
1638,2.635,11.011,1.576,15.222
1639,2.556,10.541,1.554,14.651
1640,2.436,10.692,1.57,14.698
1641,2.488,10.773,1.465,14.726
1642,2.567,10.709,1.492,14.768
1643,2.623,11.183,1.505,15.311
1644,2.672,10.636,1.495,14.802
1645,2.71,10.442,1.66,14.812
1646,2.51,10.45,1.42,14.38
1647,2.676,10.293,1.442,14.411
1648,2.444,10.306,1.433,14.183
1649,2.416,10.217,1.438,14.07
1650,2.42,10.896,1.497,14.813
1651,2.539,10.556,1.441,14.536
1652,2.624,11.153,1.405,15.181
1653,2.574,10.286,1.51,14.37
1654,2.529,10.242,1.499,14.269
1655,2.459,10.417,1.562,14.437
1656,2.422,10.446,1.424,14.292
1657,2.449,10.184,1.44,14.073
1658,2.477,10.556,1.425,14.458
1659,2.62,10.489,1.449,14.557
1660,2.439,10.232,1.6,14.271
1661,2.425,10.26,1.439,14.124
1662,2.436,10.221,1.416,14.073
1663,2.688,10.746,1.455,14.889
1664,2.859,10.55,1.466,14.875
1665,2.515,10.746,1.422,14.683
1666,2.493,12.899,1.552,16.944
1667,2.692,11.113,1.443,15.248
1668,2.561,15.781,1.998,20.34
1669,2.739,10.711,1.453,14.903
1670,2.562,10.978,1.44,14.98
1671,2.611,10.98,1.564,15.154
1672,2.403,10.435,1.41,14.248
1673,2.387,10.332,1.444,14.164
1674,2.383,10.164,1.416,13.963
1675,2.411,10.176,1.427,14.013
1676,2.384,10.32,1.447,14.152
1677,2.531,10.661,1.401,14.593
1678,2.555,10.592,1.523,14.669
1679,2.45,10.793,1.45,14.694
