frame,preprocess_ms,inference_ms,postprocess_ms,total_ms
1755,2.464,8.672,2.927,14.063
1756,2.266,8.79,2.785,13.841
1757,2.185,8.731,2.851,13.767
1758,2.129,8.606,2.98,13.715
1759,2.238,8.972,2.793,14.002
1760,2.164,8.562,2.567,13.293
1761,2.094,7.705,2.499,12.298
1762,2.134,10.494,2.613,15.24
1763,2.52,7.879,2.568,12.968
1764,2.136,10.258,4.322,16.716
1765,2.314,8.479,2.86,13.653
1766,2.196,8.486,2.774,13.456
1767,2.286,9.242,2.843,14.371
1768,2.533,8.562,2.655,13.751
1769,2.345,7.729,2.597,12.67
1770,2.213,7.73,2.516,12.459
1771,1.995,7.61,2.555,12.159
1772,2.03,7.668,2.516,12.214
1773,2.021,7.695,2.607,12.323
1774,2.072,8.446,2.723,13.241
1775,2.156,8.618,2.665,13.44
1776,2.298,8.281,2.64,13.219
1777,2.117,8.376,2.661,13.153
1778,2.063,9.933,2.778,14.775
1779,2.346,8.16,2.783,13.288
1780,2.273,8.426,2.755,13.454
1781,2.175,8.73,2.983,13.889
1782,2.343,8.712,2.992,14.047
1783,2.503,8.446,2.853,13.802
1784,2.636,8.401,2.77,13.807
1785,2.173,9.927,2.668,14.769
1786,2.155,8.154,2.857,13.166
1787,2.076,8.066,2.663,12.805
1788,2.186,8.322,2.741,13.248
1789,2.145,8.157,2.707,13.009
1790,2.158,8.116,2.721,12.994
1791,2.127,8.336,2.648,13.111
1792,2.129,8.037,3.022,13.188
1793,2.341,8.862,2.709,13.912
1794,2.12,8.326,2.687,13.133
1795,2.072,8.162,2.768,13.002
1796,2.161,8.311,3.085,13.558
1797,2.085,9.759,2.59,14.434
1798,2.391,9.493,2.895,14.779
1799,2.22,8.642,2.857,13.72
1800,2.326,8.485,2.949,13.76
1801,2.335,8.37,2.752,13.458
1802,3.31,8.463,2.018,13.79
1803,2.023,7.694,1.796,11.512
1804,2.03,7.758,1.817,11.605
1805,2.077,7.74,1.775,11.592
1806,1.961,7.677,1.845,11.484
1807,1.971,7.739,1.909,11.619
1808,2.025,7.803,1.945,11.772
1809,2.016,7.783,1.886,11.684
1810,2.033,7.775,1.889,11.697
1811,2.213,7.694,2.035,11.943
1812,2.264,7.692,2.06,12.017
1813,2.306,7.715,2.06,12.081
1814,2.501,7.921,2.243,12.666
1815,2.671,7.846,2.104,12.621
1816,2.459,7.902,2.109,12.47
1817,2.444,7.723,2.015,12.181
1818,2.29,7.731,2.036,12.057
1819,3.221,8.387,2.053,13.661
1820,2.307,7.836,2.607,12.75
1821,2.731,7.937,1.998,12.667
1822,2.411,7.76,2.201,12.373
1823,2.601,7.804,2.138,12.544
1824,2.349,8.021,2.068,12.438
1825,2.487,7.715,2.03,12.233
1826,2.535,7.967,2.942,13.443
1827,2.501,7.551,1.863,11.915
1828,2.187,7.69,2.154,12.031
