frame,preprocess_ms,inference_ms,postprocess_ms,total_ms
1682,2.669,8.896,1.976,13.541
1683,2.717,8.756,1.778,13.251
1684,2.684,8.78,2.031,13.495
1685,2.672,9.878,2.153,14.703
1686,2.932,10.488,2.011,15.43
1687,2.824,12.568,2.199,17.592
1688,2.959,9.617,2.111,14.686
1689,2.758,9.142,1.908,13.809
1690,2.669,8.781,2.04,13.49
1691,3.014,9.667,1.863,14.544
1692,2.675,8.841,2.041,13.557
1693,2.724,10.482,1.933,15.14
1694,3.316,10.068,2.136,15.521
1695,3.021,10.256,1.823,15.1
1696,2.702,8.838,1.883,13.423
1697,2.707,9.023,2.053,13.783
1698,2.703,8.831,1.945,13.479
1699,2.872,8.848,1.917,13.637
1700,2.693,8.748,1.834,13.276
1701,2.828,8.774,1.857,13.46
1702,2.699,8.733,1.936,13.369
1703,2.678,8.762,1.937,13.377
1704,2.727,8.961,1.829,13.517
1705,2.685,8.996,1.966,13.647
1706,2.83,8.806,1.871,13.507
1707,2.804,8.885,1.83,13.52
1708,2.675,11.392,2.043,16.111
1709,2.765,9.428,2.088,14.28
1710,3.23,9.546,2.19,14.966
1711,2.749,12.006,2.575,17.331
1712,3.281,12.603,2.245,18.129
1713,3.007,11.041,2.098,16.146
1714,3.03,8.92,1.867,13.817
1715,2.75,11.026,1.859,15.635
1716,2.691,10.046,1.869,14.606
1717,2.946,8.828,1.873,13.647
1718,3.031,8.853,1.856,13.739
1719,2.778,12.757,1.665,17.2
1720,2.93,10.153,2.166,15.248
1721,2.777,8.789,1.98,13.545
1722,2.652,8.599,1.818,13.07
1723,2.703,8.503,1.804,13.01
1724,2.668,8.439,1.8,12.907
1725,2.666,8.696,1.798,13.16
1726,2.661,8.664,1.883,13.208
1727,2.676,8.567,2.038,13.281
1728,2.727,8.849,1.829,13.404
1729,2.88,8.676,1.99,13.546
1730,2.761,8.697,1.831,13.289
1731,2.662,8.761,1.787,13.209
1732,2.654,8.594,1.823,13.071
1733,2.647,8.551,1.816,13.013
1734,2.649,8.628,1.942,13.219
1735,2.67,8.6,1.81,13.08
1736,2.751,8.504,1.96,13.216
1737,2.74,8.533,1.78,13.053
1738,2.655,8.513,1.784,12.952
1739,2.642,8.472,1.77,12.883
1740,2.654,8.704,1.815,13.173
1741,2.66,8.58,1.818,13.059
1742,2.689,8.686,1.906,13.281
1743,2.67,8.529,1.79,12.989
1744,2.67,8.5,1.854,13.024
1745,2.832,8.7,1.815,13.347
1746,2.672,8.68,1.81,13.161
1747,2.663,8.557,1.811,13.031
1748,2.657,8.512,1.819,12.988
