frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,draw_write_ms,total_ms
1750,19.923,11.216,35.801,6.2,167.945,241.086
1751,12.034,5.201,23.612,4.258,180.401,225.506
1752,21.352,11.111,32.569,7.756,143.028,215.816
1753,24.243,11.44,36.165,4.515,171.038,247.4
1754,24.336,17.598,32.882,4.479,147.033,226.328
1755,17.006,11.136,36.706,6.852,162.424,234.124
1756,13.865,6.567,20.416,3.247,151.016,195.111
1757,18.587,6.348,28.45,9.058,118.408,180.851
1758,10.845,5.681,18.512,2.355,102.053,139.446
1759,12.344,5.483,17.468,2.322,95.643,133.26
1760,16.164,6.86,20.86,2.56,130.316,176.761
1761,12.882,5.567,17.967,2.466,103.927,142.809
1762,12.474,5.529,17.235,2.359,98.704,136.301
1763,12.773,5.5,17.349,2.389,97.63,135.641
1764,12.96,5.778,16.884,2.386,94.856,132.865
1765,12.899,5.792,17.421,2.285,112.482,150.88
1766,12.882,5.675,17.167,2.447,106.01,144.18
1767,12.814,5.777,19.631,2.782,116.849,157.852
1768,12.991,5.983,18.704,2.538,113.842,154.057
1769,11.753,5.611,17.725,2.529,104.365,141.983
1770,12.552,5.632,18.355,2.675,98.908,138.123
1771,12.538,5.524,17.101,2.302,98.585,136.05
1772,13.481,5.738,17.048,2.299,123.229,161.795
1773,10.646,5.545,16.784,2.323,108.857,144.155
1774,12.254,5.513,17.349,2.356,117.153,154.625
1775,12.485,5.595,17.189,2.368,98.569,136.205
1776,13.42,5.738,16.92,2.278,97.391,135.748
1777,12.324,5.548,17.186,2.343,110.109,147.512
1778,12.318,5.447,16.977,2.365,102.515,139.622
1779,12.487,5.488,17.315,2.521,99.133,136.945
1780,12.692,5.524,16.65,2.274,120.532,157.672
1781,10.791,5.585,17.308,2.319,122.662,158.665
1782,12.387,5.66,17.714,2.482,105.198,143.441
1783,13.046,5.651,17.318,2.452,99.464,137.931
1784,12.544,5.481,16.616,2.284,112.704,149.631
1785,12.623,5.508,17.31,2.343,106.655,144.439
1786,12.776,5.554,17.315,2.36,103.964,141.969
1787,12.386,5.502,17.123,2.325,103.848,141.183
1788,12.639,5.521,16.638,2.355,110.841,147.993
1789,12.736,5.728,18.163,2.44,114.22,153.288
1790,12.216,5.74,17.76,2.352,104.189,142.256
1791,12.23,5.438,17.108,2.38,100.042,137.198
1792,12.54,5.528,17.185,2.327,110.964,148.544
1793,13.037,5.705,17.594,2.56,120.415,159.31
1794,13.673,6.043,20.408,2.729,104.242,147.095
1795,12.502,5.452,17.506,2.379,106.92,144.758
1796,12.594,5.54,17.626,2.325,115.018,153.104
1797,12.545,5.464,17.01,2.438,103.44,140.896
1798,12.282,5.423,17.018,2.325,99.48,136.527
1799,12.116,5.446,17.245,2.444,112.921,150.172
1800,12.663,5.471,18.839,2.289,97.124,136.385
1801,12.407,5.673,19.461,2.697,111.264,151.502
1802,12.229,5.444,17.502,2.317,111.337,148.828
1803,15.929,5.59,17.371,2.297,99.542,140.729
1804,12.819,5.468,17.079,2.331,114.503,152.2
1805,12.289,5.559,17.446,2.305,107.323,144.922
1806,12.349,5.48,18.035,2.358,101.866,140.088
1807,12.275,5.444,16.832,2.344,97.63,134.524
1808,12.573,5.456,16.803,2.291,113.176,150.299
1809,12.435,5.455,17.224,2.367,105.751,143.232
1810,15.584,5.359,18.964,2.812,113.732,156.451
1811,12.276,5.466,17.075,2.325,97.477,134.619
1812,12.609,5.476,17.135,2.324,93.937,131.481
1813,12.4,5.536,17.169,2.321,122.096,159.524
1814,12.24,5.394,16.775,2.272,104.679,141.359
1815,12.235,5.391,16.614,2.279,100.06,136.579
1816,12.374,5.381,16.393,2.264,112.673,149.084
1817,12.64,5.659,16.968,2.316,128.931,166.514
1818,12.297,5.393,16.773,2.276,104.94,141.678
1819,12.322,5.397,16.687,2.281,99.896,136.583
1820,12.371,5.494,16.841,2.259,116.229,153.194
1821,12.74,5.471,17.049,2.325,110.859,148.443
1822,11.862,5.372,18.561,2.346,106.3,144.44
1823,12.23,5.527,16.685,2.279,99.847,136.569
1824,10.47,5.367,17.798,2.241,109.955,145.831
1825,12.597,5.381,16.883,2.297,110.216,147.374
1826,12.497,5.539,22.909,3.2,167.804,211.949
1827,17.105,7.459,55.668,4.44,128.032,212.705
1828,21.744,11.748,29.576,4.196,194.666,261.929
1829,20.861,11.31,30.429,6.241,190.769,259.611
1830,19.514,11.256,30.34,6.388,154.287,221.786
1831,12.085,5.23,15.189,2.233,176.613,211.349
1832,21.742,10.15,29.952,4.11,199.327,265.281
1833,22.035,9.231,27.346,2.376,144.988,205.975
1834,18.589,5.434,17.766,2.839,175.237,219.865
1835,20.077,10.696,31.635,4.176,175.199,241.783
1836,19.044,5.503,16.021,2.216,155.075,197.86
1837,17.639,10.808,28.919,4.124,196.287,257.777
1838,18.508,11.123,29.367,6.799,179.462,245.259
1839,19.348,10.449,35.583,5.139,156.047,226.566
1840,18.495,6.268,43.388,8.531,158.568,235.25
1841,18.416,9.508,16.646,2.56,192.395,239.526
1842,18.586,12.18,29.896,4.227,156.42,221.311
1843,11.622,5.336,17.695,2.532,185.538,222.722
1844,19.558,11.787,35.41,2.289,111.964,181.009
1845,12.356,5.439,18.341,2.56,104.418,143.114
1846,13.293,5.537,16.584,2.292,102.471,140.177
1847,12.175,5.349,17.374,2.361,96.527,133.785
1848,12.717,5.619,17.138,2.276,89.741,127.49
