frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,draw_write_ms,total_ms
2378,13.097,5.838,16.816,2.414,93.943,132.107
2379,12.411,5.576,16.844,2.33,88.657,125.818
2380,18.937,5.609,16.76,2.237,106.376,149.919
2381,12.582,5.591,19.544,2.357,97.869,137.943
2382,13.116,5.402,16.893,2.256,95.427,133.093
2383,13.237,5.872,22.49,2.576,112.629,156.803
2384,12.522,5.388,18.051,2.309,113.842,152.112
2385,12.302,5.658,17.054,2.363,100.293,137.671
2386,12.379,5.389,16.949,2.301,97.151,134.169
2387,12.291,5.578,17.326,2.333,93.774,131.302
2388,12.865,5.815,17.983,2.306,98.426,137.394
2389,12.975,5.947,17.726,2.453,104.105,143.206
2390,12.677,5.728,17.419,2.266,110.659,148.749
2391,12.582,5.587,16.869,2.251,95.079,132.368
2392,11.11,5.443,16.974,2.271,107.503,143.302
2393,12.38,5.502,17.039,2.234,99.762,136.917
2394,12.384,5.609,16.894,2.254,99.152,136.294
2395,12.466,5.748,16.88,2.487,96.636,134.218
2396,13.073,5.51,16.966,2.24,109.447,147.236
2397,12.682,5.632,17.559,2.242,99.256,137.37
2398,12.811,9.988,24.955,4.188,107.634,159.576
2399,12.3,5.553,16.734,2.422,92.019,129.028
2400,13.056,5.603,16.981,2.341,92.021,130.003
2401,12.624,5.34,17.459,2.496,107.907,145.826
2402,12.583,5.441,17.416,2.327,102.749,140.517
2403,11.566,5.828,18.623,2.472,106.198,144.686
2404,10.725,5.69,16.873,2.407,107.813,143.509
2405,13.374,5.48,17.607,2.324,122.846,161.63
2406,10.969,5.659,17.072,2.24,102.509,138.449
2407,13.087,5.379,17.168,2.278,94.959,132.872
2408,12.514,5.864,17.235,2.295,107.696,145.603
2409,12.834,5.375,16.808,2.28,103.209,140.507
2410,12.802,5.451,16.992,2.29,100.235,137.77
2411,12.717,5.524,17.219,2.46,96.352,134.272
2412,12.862,5.476,17.518,2.228,92.615,130.699
2413,14.402,5.62,32.748,7.57,111.368,171.708
2414,11.568,5.582,17.06,2.285,100.986,137.481
2415,12.358,5.529,17.255,2.306,95.401,132.849
2416,12.752,5.642,16.518,2.421,111.364,148.698
2417,12.723,5.635,17.952,2.526,102.466,141.303
2418,12.542,5.48,16.824,2.442,97.205,134.494
2419,12.769,5.535,17.597,2.358,92.704,130.964
2420,13.349,5.673,30.229,5.99,134.121,189.361
2421,12.011,5.568,17.268,2.259,101.042,138.148
2422,12.704,5.537,17.475,2.298,103.335,141.349
2423,12.686,5.49,17.097,2.285,98.88,136.438
2424,12.449,5.728,18.033,2.457,92.235,130.902
2425,12.834,5.686,17.242,2.559,104.018,142.338
2426,12.663,5.556,17.665,2.408,102.63,140.922
2427,11.334,5.437,17.849,2.255,109.223,146.099
2428,13.04,5.717,17.003,2.341,105.711,143.812
2429,12.466,5.423,17.21,2.249,100.194,137.541
2430,12.773,5.543,17.782,2.357,101.157,139.611
2431,12.772,5.831,17.965,2.466,97.683,136.716
2432,12.978,5.785,17.492,2.463,104.73,143.448
2433,12.71,5.694,17.512,2.256,99.983,138.155
2434,12.654,5.775,18.289,2.357,98.328,137.403
2435,12.353,7.557,28.465,2.346,95.166,145.888
2436,12.859,5.496,17.022,2.235,91.631,129.244
2437,12.968,5.585,17.642,2.324,107.951,146.471
2438,12.584,5.773,17.153,2.436,95.141,133.087
2439,12.679,5.561,18.332,2.46,99.679,138.711
2440,13.604,5.81,17.288,2.247,119.69,158.639
2441,13.059,5.629,18.323,2.371,109.902,149.284
2442,12.514,6.063,17.812,2.465,162.106,200.961
2443,13.032,6.441,26.189,2.223,138.799,186.684
2444,22.481,13.03,36.286,6.564,170.529,248.89
2445,23.203,11.766,35.313,4.33,194.542,269.155
2446,18.066,11.305,31.48,4.196,175.077,240.125
2447,19.6,9.542,39.126,4.934,158.741,231.944
2448,18.91,11.281,33.172,5.241,166.76,235.365
2449,21.803,11.503,32.501,4.291,181.99,252.088
2450,12.566,9.416,24.065,4.407,178.464,228.917
2451,20.584,11.411,43.186,8.554,150.613,234.346
2452,23.986,10.302,32.861,4.251,185.427,256.827
2453,21.272,11.689,32.194,4.282,169.43,238.867
2454,18.705,11.286,29.684,4.296,164.521,228.491
2455,18.827,8.999,31.022,4.172,155.032,218.052
2456,20.569,11.306,40.427,3.829,193.825,269.955
2457,22.633,11.415,36.459,4.222,152.635,227.364
2458,13.272,6.322,22.773,3.374,159.462,205.204
2459,12.728,6.965,19.176,2.657,132.724,174.251
2460,15.594,7.24,25.638,2.74,122.402,173.613
2461,11.021,5.763,17.259,2.262,129.98,166.285
2462,11.935,5.716,17.424,2.367,98.07,135.512
2463,12.709,5.452,17.14,2.247,92.387,129.934
2464,12.684,5.885,17.187,2.249,113.778,151.782
2465,12.619,5.485,16.9,2.334,106.945,144.283
2466,12.739,5.52,17.011,2.26,102.655,140.183
2467,12.597,5.643,17.333,2.278,99.851,137.703
2468,12.667,5.555,17.03,2.3,128.037,165.589
2469,12.673,5.474,17.914,2.446,108.677,147.183
2470,13.308,5.53,17.376,2.319,104.232,142.764
2471,12.433,5.472,16.928,2.24,103.153,140.226
2472,12.76,5.445,17.425,2.295,96.1,134.026
2473,12.721,5.773,16.994,2.334,110.186,148.008
2474,12.479,5.657,17.026,2.379,105.376,142.918
2475,12.534,5.607,17.529,2.439,115.106,153.215
2476,13.08,5.626,17.303,2.317,117.792,156.117
2477,12.653,5.711,17.408,2.287,107.014,145.073
2478,12.583,5.556,17.288,2.272,106.679,144.378
2479,12.841,5.537,17.259,2.264,100.414,138.315
2480,13.06,5.579,16.555,2.358,116.143,153.696
2481,12.703,5.458,17.228,2.284,108.122,145.794
