frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,total_ms
2086,13.945,5.579,18.244,0.401,38.169
2087,90.78,5.992,16.743,0.279,113.793
2088,13.116,5.728,18.667,0.407,37.917
2089,63.352,5.763,18.134,0.316,87.564
2090,16.093,5.846,18.163,0.435,40.537
2091,84.199,5.716,19.499,0.33,109.744
2092,13.766,5.947,24.344,3.469,47.527
2093,54.257,5.976,18.915,2.57,81.718
2094,19.832,5.553,18.098,2.402,45.885
2095,81.494,6.155,19.716,2.506,109.871
2096,13.518,5.82,18.615,2.555,40.508
2097,57.921,5.669,19.184,2.518,85.292
2098,14.65,5.413,40.321,6.627,67.012
2099,67.779,6.112,19.406,2.618,95.915
2100,29.297,5.597,18.276,2.573,55.743
2101,48.083,5.836,18.993,2.409,75.321
2102,25.556,5.481,17.864,2.292,51.193
2103,78.258,6.055,19.1,2.709,106.122
2104,20.464,5.779,18.641,2.602,47.487
2105,57.511,5.872,19.422,2.588,85.393
2106,17.944,5.53,20.666,2.965,47.106
2107,82.654,5.918,19.003,2.61,110.185
2108,14.54,5.951,18.503,2.512,41.506
2109,62.269,9.95,17.905,1.957,92.081
2110,17.532,5.758,17.664,2.575,43.528
2111,85.358,6.01,17.695,1.963,111.027
2112,13.308,5.641,18.492,2.654,40.096
2113,97.237,6.067,17.974,1.971,123.249
2114,13.494,5.539,17.564,2.441,39.038
2115,87.525,5.831,18.827,2.021,114.204
2116,13.69,5.635,18.442,2.599,40.366
2117,61.031,5.922,21.192,0.304,88.448
2118,13.236,5.367,18.055,2.824,39.483
2119,81.86,5.813,28.985,2.11,118.767
2120,16.426,5.623,18.773,2.546,43.369
2121,55.829,5.975,19.209,2.524,83.536
2122,16.701,5.544,17.961,2.407,42.613
2123,81.467,5.995,19.123,2.183,108.768
2124,13.935,6.103,20.556,2.814,43.41
2125,65.599,7.031,20.824,1.927,95.381
2126,13.392,5.554,18.015,2.491,39.452
2127,110.023,4.303,12.815,0.303,127.445
2128,13.004,5.609,19.012,2.477,40.102
