frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,total_ms
1192,48.755,8.2,19.651,7.187,83.793
1193,43.877,4.348,12.718,3.061,64.003
1194,150.491,8.475,16.52,3.041,178.527
1195,22.389,8.202,19.333,4.989,54.913
1196,147.093,4.525,12.554,2.981,167.153
1197,22.519,7.859,18.579,6.421,55.378
1198,113.418,17.99,33.195,2.964,167.568
1199,19.918,8.917,14.723,3.416,46.975
1200,143.807,4.735,12.821,2.92,164.283
1201,22.272,9.191,21.594,7.268,60.325
1202,67.869,4.963,13.734,3.452,90.019
1203,128.761,11.384,12.803,2.986,155.935
1204,23.332,6.515,21.514,13.217,64.578
1205,102.061,7.201,17.058,2.791,129.111
1206,23.618,8.669,24.084,4.879,61.249
1207,166.12,8.677,14.274,2.973,192.044
1208,20.688,10.33,18.854,2.821,52.693
1209,114.895,8.249,19.418,5.676,148.238
1210,30.522,10.784,19.903,7.219,68.428
1211,169.783,8.364,14.435,2.945,195.526
1212,22.704,11.428,18.909,5.061,58.102
1213,110.837,7.843,20.771,4.851,144.302
1214,30.467,7.579,18.357,4.964,61.367
1215,188.99,4.273,13.008,3.059,209.33
1216,22.592,4.834,13.025,3.055,43.506
1217,107.923,4.889,13.02,3.243,129.076
1218,23.925,8.481,19.279,4.994,56.678
1219,90.498,4.601,13.362,4.989,113.449
1220,127.806,6.693,14.502,5.36,154.361
1221,22.728,7.889,22.262,6.203,59.083
1222,117.313,8.863,21.53,7.534,155.239
1223,53.297,5.041,14.927,3.258,76.523
1224,105.728,4.928,13.231,3.568,127.455
1225,25.307,5.342,13.193,3.175,47.017
1226,57.844,4.667,13.061,3.188,78.761
1227,39.949,4.524,12.872,3.052,60.397
1228,46.846,4.612,12.983,3.029,67.47
1229,24.367,5.335,12.848,3.014,45.563
1230,45.404,4.662,12.896,3.014,65.977
1231,51.574,4.805,12.974,3.219,72.572
1232,33.549,4.625,12.878,2.989,54.041
1233,34.546,7.087,17.371,5.237,64.242
1234,50.527,4.561,12.797,3.122,71.007
1235,54.839,4.647,12.931,2.935,75.352
1236,33.359,4.277,12.835,3.219,53.69
1237,37.056,4.759,13.033,3.24,58.088
1238,28.658,4.546,12.796,3.12,49.121
1239,65.057,4.468,12.919,3.204,85.647
1240,21.631,4.375,12.784,3.106,41.896
1241,46.367,4.676,13.01,3.184,67.237
1242,29.327,4.515,12.715,3.117,49.674
1243,73.482,4.336,12.931,3.261,94.009
1244,15.931,4.585,12.859,3.072,36.447
1245,57.773,4.349,12.959,3.146,78.227
1246,16.801,4.449,12.685,2.964,36.899
1247,40.217,11.39,13.883,3.042,68.531
1248,59.459,4.598,12.841,2.896,79.793
1249,28.21,4.474,12.75,2.983,48.417
1250,79.879,6.836,12.763,2.184,101.662
1251,13.402,4.308,13.793,2.97,34.473
1252,55.274,4.652,14.169,3.217,77.313
1253,47.592,4.876,12.853,3.202,68.523
1254,44.073,4.56,12.924,3.099,64.656
1255,22.143,4.212,12.809,3.194,42.357
1256,51.099,4.947,12.939,3.045,72.031
1257,60.095,4.667,13.086,3.314,81.162
1258,31.661,4.753,13.397,3.037,52.848
1259,41.071,4.476,12.955,3.224,61.725
1260,26.515,4.611,14.237,2.984,48.347
1261,76.205,4.872,13.034,3.159,97.269
1262,15.127,4.406,12.854,3.086,35.473
1263,61.946,4.641,12.964,2.523,82.074
1264,13.779,4.167,12.82,3.079,33.846
1265,88.894,4.42,12.745,2.296,108.355
1266,13.727,4.645,13.579,13.53,45.48
1267,62.233,4.812,14.753,3.055,84.854
1268,15.814,4.206,13.739,3.158,36.917
1269,90.997,4.478,12.794,2.217,110.486
1270,13.864,4.77,14.575,3.294,36.502
1271,56.775,4.863,13.216,3.685,78.539
1272,19.02,4.427,12.954,3.087,39.488
1273,82.852,4.915,13.132,2.671,103.57
1274,12.144,4.707,14.814,3.192,34.857
1275,60.319,4.757,13.147,2.135,80.358
1276,11.423,4.531,13.506,5.826,35.286
1277,99.271,3.967,12.539,2.223,118.0
1278,12.222,4.672,13.78,3.175,33.848
1279,60.481,4.502,13.004,2.176,80.163
1280,13.724,4.53,12.848,3.23,34.332
1281,84.512,4.942,12.697,2.179,104.33
1282,16.845,4.304,13.483,2.984,37.616
1283,86.707,3.86,12.548,2.129,105.244
1284,11.777,4.676,12.869,3.229,32.551
1285,89.974,4.33,12.67,2.101,109.076
1286,13.386,4.61,13.729,2.853,34.578
1287,61.117,4.667,13.028,3.217,82.029
1288,17.966,4.781,12.872,3.012,38.63
1289,81.894,4.648,13.025,3.001,102.568
1290,13.268,4.171,12.824,3.105,33.368
1291,65.454,4.73,13.007,2.702,85.893
1292,13.643,4.546,12.808,3.132,34.129
1293,83.09,4.704,12.907,2.29,102.991
1294,13.421,4.375,14.834,3.108,35.738
1295,60.816,4.321,12.922,3.197,81.256
